TABLE NO.  1
 TIME        ID          IPRED
  0.0000E+00  1.0000E+00  1.0000E+00
  1.0000E+00  1.0000E+00  1.1972E+00
  2.0000E+00  1.0000E+00  1.4330E+00
  3.0000E+00  1.0000E+00  1.7139E+00
  4.0000E+00  1.0000E+00  2.0470E+00
  5.0000E+00  1.0000E+00  2.4393E+00
  6.0000E+00  1.0000E+00  2.8976E+00
  7.0000E+00  1.0000E+00  3.4276E+00
  8.0000E+00  1.0000E+00  4.0333E+00
  9.0000E+00  1.0000E+00  4.7158E+00
  1.0000E+01  1.0000E+00  5.4718E+00
  1.1000E+01  1.0000E+00  6.2927E+00
  1.2000E+01  1.0000E+00  7.1629E+00
  1.3000E+01  1.0000E+00  8.0594E+00
  1.4000E+01  1.0000E+00  8.9523E+00
  1.5000E+01  1.0000E+00  9.8059E+00
  1.6000E+01  1.0000E+00  1.0582E+01
  1.7000E+01  1.0000E+00  1.1244E+01
  1.8000E+01  1.0000E+00  1.1761E+01
  1.9000E+01  1.0000E+00  1.2115E+01
  2.0000E+01  1.0000E+00  1.2300E+01
  2.0100E+01  1.0000E+00  1.2309E+01
  2.0200E+01  1.0000E+00  1.2317E+01
  2.0300E+01  1.0000E+00  1.2324E+01
  2.0400E+01  1.0000E+00  1.2328E+01
  2.0500E+01  1.0000E+00  1.2331E+01
  2.0600E+01  1.0000E+00  1.2333E+01
  2.0700E+01  1.0000E+00  1.2333E+01
  2.0800E+01  1.0000E+00  1.2332E+01
  2.0900E+01  1.0000E+00  1.2329E+01
  2.1000E+01  1.0000E+00  1.2325E+01
  2.2000E+01  1.0000E+00  1.2210E+01
  2.3000E+01  1.0000E+00  1.1985E+01
  2.4000E+01  1.0000E+00  1.1684E+01
  2.5000E+01  1.0000E+00  1.1339E+01
  2.6000E+01  1.0000E+00  1.0981E+01
  2.7000E+01  1.0000E+00  1.0633E+01
  2.8000E+01  1.0000E+00  1.0313E+01
  2.9000E+01  1.0000E+00  1.0033E+01
  2.9100E+01  1.0000E+00  1.0007E+01
  2.9200E+01  1.0000E+00  9.9821E+00
  2.9300E+01  1.0000E+00  9.9575E+00
  2.9400E+01  1.0000E+00  9.9333E+00
  2.9500E+01  1.0000E+00  9.9097E+00
  2.9600E+01  1.0000E+00  9.8865E+00
  2.9700E+01  1.0000E+00  9.8639E+00
  2.9800E+01  1.0000E+00  9.8417E+00
  2.9900E+01  1.0000E+00  9.8200E+00
  3.0000E+01  1.0000E+00  9.7988E+00
  4.0000E+01  1.0000E+00  9.6444E+00
  5.0000E+01  1.0000E+00  1.0194E+01
  6.0000E+01  1.0000E+00  9.9759E+00
  7.0000E+01  1.0000E+00  9.9750E+00
  8.0000E+01  1.0000E+00  1.0016E+01
  9.0000E+01  1.0000E+00  9.9972E+00
  1.0000E+02  1.0000E+00  9.9983E+00
  2.0000E+02  1.0000E+00  1.0000E+01
  3.0000E+02  1.0000E+00  1.0000E+01
  4.0000E+02  1.0000E+00  1.0000E+01
  5.0000E+02  1.0000E+00  1.0000E+01
